address,weight
0x0003cb0009e52e6ca64b4744a1601e9f1d6ef130,1
0x0033e693e3d3e4af1c77978f4ff75420776acf0a,1
0x00432772ed25d4eb3c6eb26dc461239b35cf8760,1
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,3
0x0058dd50c91d60f0a973fe15fb40e4430f4daa08,2
0x006949f2f1b70d35afda9ded6cb9f3e152fa031b,2
0x006a8a496889e9983a5256f34b608ee9569ba319,1
0x006e88f3893a623ed17f891fad98026395ff757b,1
0x0078dcf16bd12320bab31a856e9497245ff50bfc,1
0x009da689fe16166448b0d6c0f5d2f82033a16b8a,2
0x00b55eed88b14bf65b422dfa07fbc4941fc0178f,2
0x00cdebc042c87c95e439e1aefa0bd3a8014da577,1
0x00db4d01c8953a707239dc168e466f64dd97fe9c,2
0x00e9114dbfeb686eb736f78aa481ed0528e200a8,2
0x014607f2d6477badd9d74bf2c5d6356e29a9b957,3
0x015122a625b45f68e6d795c0ab99fc7107e4c3b9,1
0x018a3833ccc9d365195441c32e2202f2cc9e5f16,5
0x0199be12d6f574db4a55b061653bec89bff62af7,1
0x019edcb493bd91e2b25b70f26d5d9041fd7ef946,1
0x01ab07010c2f4bf5971537669cc19d5d8cf320a0,1
0x01b40d0a3bf03e3865d46a23fc84a819fbf2f473,2
0x01b51395a41c791da6d0cf6b5da6a58c8350ed05,1
0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45,1
0x01e863c402f2e901ba264c3b0b2d6b8606eff2ba,1
0x01ec4a63e8bd579e1a2cea4763cf3a5da5e48e8b,1
0x01f92621addbd8b688fe6539f6a69a0f892502ec,1
0x023320e0c9ac45644c3305ce574360e901c7f582,1
0x02435fb305d2bba609e044279c50498abe279380,2
0x0279e4db6596933aab0d7d3a11c74b01fd44e344,1
0x02fa893cd8fcfac3587e462e3faa5aa29946fc06,2
0x033e21b02373489ff2f7a2c2f1b109a1bc6158ad,2
0x03853b09108931c5c8ff9b1a7de689e7e76e7711,3
0x038591b6f402534863f66e07135533c063ba03c2,1
0x03894d4ac41dd6c4c2f524ed4417c90fa46972c6,3
0x03d1ee0729188eca4c614f2c123db63639b2d018,1
0x0426b2f8e43deb95ad7a840f8c2a517ee33c6fb1,1
0x046abfc06897e8a86542047d6b22e931fe99bee5,1
0x049808d5eaa90a2665b9703d2246dded34f1eb73,3
0x04adcb18c1ebaf21018cef1a7d185d410ddd4df9,1
0x04bbb7ea18ea570ae47d4489991645e4e49bbf37,3
0x04dfb55f65e89aaf26bf198ed87fb77a8a2b7260,2
0x05144b6eba04f846513c4e29812722f9397ee30a,1
0x051650190c3a27c5187c537d55bac90553286294,1
0x0516cf37b67235e07af38ad8e388d0e68089b0f2,1
0x05330bd13edbd6bb1f1ebede8d9f8b0fa592f0ad,1
0x053671da56cb9f5c55698244c95fcf1c706a54e7,1
0x054ba12713290ef5b9236e55944713c0edeb4cf4,1
0x0590c193aa1e23849263ff52ef769f4cddb6e947,2
0x05a286e5165d72823a749b00b009a2af0dc36ff7,2
0x05dcaa0657a159291bdd5b4e2f0514df4fbc9fbf,1
0x05f7f81ef8b158be44b96a3a3bd5351bdf28946c,1
0x0678e836c26abcfcd2b7e49559aa1a8b0f3ad36a,1
0x068484f7bd2b7d7c5a698d89e75ddcaf3a92b879,1
0x069562b6ce700aa824c3099a44a27416f76daef6,1
0x06ab7b6155f5fe588d02aa18fcf8d6fa11e71b2b,1
0x06bc596fb16734f7abc3a5996b580be932c2fb72,1
0x06c2c4db3776d500636de63e4f109386dcba6ae2,1
0x06c4865ab16c9c760622f19a313a2e637e2e66a2,1
0x06e8dedf9e1adb1eba32f36ea9223770ba378b77,5
0x06f398ce76acc1fce97b7cab0eb2a96ba9230c9b,3
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1
0x071158363a80220cc3cd2168e0b3ecfa7cde6107,2
0x0752f0401371314f1ceb83fa93cdd2a99ac42a77,1
0x07722608a61d9014462d3cb0bf00420fe8a5adff,1
0x07726d7e4ed80c8c64a8dd27e64f876bd4225744,1
0x078ad5270b0240d8529f600f35a271fc6e2b2bd8,1
0x07c2af75788814ba7e5225b2f5c951ed161cb589,3
0x07ddd6614cb4f5adc576df8545635ab50b01cd70,2
